MeasurementDate,TempMax,TempMin,TempAvg,TempDeparture,HDD,CDD,Precipitation,NewSnow,SnowDepth
5/1/2022,83,50,66.5,1.4,0,2,0.82,0,0
5/2/2022,84,64,74,8.6,0,9,0,0,0
5/3/2022,89,65,77,11.4,0,12,T,0,0
5/4/2022,88,67,77.5,11.6,0,13,T,0,0
5/5/2022,76,62,69,2.9,0,4,0,0,0
5/6/2022,85,62,73.5,7.1,0,9,0.97,T,0
5/7/2022,75,53,64,-2.6,1,0,0.02,0,0
5/8/2022,53,47,50,-16.8,15,0,0.01,0,0
5/9/2022,71,44,57.5,-9.6,7,0,0,0,0
5/10/2022,75,48,61.5,-5.8,3,0,0,0,0
5/11/2022,77,53,65,-2.6,0,0,0,0,0
5/12/2022,70,62,66,-1.8,0,1,0.07,0,0
5/13/2022,78,63,70.5,2.4,0,6,T,0,0
5/14/2022,80,64,72,3.7,0,7,T,0,0
5/15/2022,86,61,73.5,4.9,0,9,0,0,0
5/16/2022,87,64,75.5,6.7,0,11,0.01,0,0
5/17/2022,84,53,68.5,-0.5,0,4,0,0,M
5/18/2022,87,55,71,1.7,0,6,0,0,0
5/19/2022,92,70,81,11.4,0,16,0.01,0,0
5/20/2022,96,66,81,11.2,0,16,T,0,0
5/21/2022,93,69,81,10.9,0,16,0.29,0,0
5/22/2022,90,69,79.5,9.2,0,15,T,0,0
5/23/2022,85,67,76,5.4,0,11,1.29,0,0
5/24/2022,80,61,70.5,-0.3,0,6,T,0,0
5/25/2022,68,60,64,-7.1,1,0,T,0,0
5/26/2022,82,61,71.5,0.1,0,7,0.01,0,0
5/27/2022,81,68,74.5,2.8,0,10,1.12,0,0
5/28/2022,82,61,71.5,-0.4,0,7,0.62,0,0
5/29/2022,88,59,73.5,1.3,0,9,0,0,0
5/30/2022,91,66,78.5,6,0,14,0,0,0
5/31/2022,92,68,80,7.3,0,15,0,0,0
1/1/2022,79,64,71.5,29.3,0,7,0.43,0,0
1/2/2022,70,59,64.5,22.4,0,0,0.81,0,0
1/3/2022,60,31,45.5,3.5,19,0,2.29,T,0
1/4/2022,44,26,35,-6.9,30,0,0,0,0
1/5/2022,59,30,44.5,2.7,20,0,T,0,0
1/6/2022,59,37,48,6.2,17,0,T,0,0
1/7/2022,52,27,39.5,-2.2,25,0,T,0,0
1/8/2022,42,21,31.5,-10.2,33,0,0,0,0
1/9/2022,66,37,51.5,9.9,13,0,0.62,0,0
1/10/2022,53,34,43.5,1.9,21,0,0,0,0
1/11/2022,41,27,34,-7.6,31,0,0,0,0
